# 40m seismic noise from elog
# Charles
# 2013-06-28
# https://nodus.ligo.caltech.edu:8081/40m/8786
# Frequency__Hz, Mean_Displacement__m_per_rtHz, stdev_Displacement__m_per_rtHz
16.0685938837209, 8.10540930806247e-11, 4.00021587066981e-11
16.232656372093, 8.99710731927524e-11, 3.98966012440427e-11
16.398672, 9.67738870084247e-11, 5.0299384153579e-11
16.56664075, 1.18301859965584e-10, 6.63631595182019e-11
16.7365626222222, 1.36649743811943e-10, 7.76098617478609e-11
16.9084376222222, 1.0214188893751e-10, 5.45299096315474e-11
17.0803126222222, 6.66574191255288e-11, 2.66469097767601e-11
17.2541407391304, 5.633609701037e-11, 2.80759550238685e-11
17.429922, 6.5462327231105e-11, 3.22401697533783e-11
17.6076563829787, 7.4234203833914e-11, 3.63655922936859e-11
17.7873438723404, 7.75008163372473e-11, 4.05880869593396e-11
17.9689845, 6.64273629330224e-11, 3.70694933940596e-11
18.15257825, 1.09374949067932e-10, 6.30666992986003e-11
18.338125122449, 7.54740262657631e-11, 3.24481473389642e-11
18.525625122449, 7.05295091469795e-11, 2.77514815220143e-11
18.71507824, 6.0586624911394e-11, 2.91588080784775e-11
18.9064845, 6.53921960961888e-11, 4.37159265903542e-11
19.0998438823529, 1.0395958855723e-10, 8.93294747203105e-11
19.295156372549, 1.2561368968308e-10, 1.14520416334198e-10
19.492422, 8.69016345719729e-11, 7.1409869901951e-11
19.69164075, 5.83998377239794e-11, 3.13619149245241e-11
19.8928126226415, 5.77014031491497e-11, 2.30900788976072e-11
20.0959376226415, 6.29375077006231e-11, 2.25366731762337e-11
